,seed,n_frames,min_lambda,min_loss,min_avg,gbar,lim_loss,lim_loss_num,lim_chi2,lim_dkl,dV
76,26,35,[-4.6110673],1.72772216796875,[0.8694045],1.0709307289983154,2.3272964581316384,2.327302,1.0992448,3.555359,0.5995798110961914
77,27,35,[-6.55931822],2.595020294189453,[0.51867959],0.6368175333684536,3.347614249290178,3.325285,3.140316,3.510254,0.7302646636962891
78,28,35,[-4.39671753],1.7169795036315918,[0.90856833],1.1703541515536353,2.167291704045359,2.1672971,0.77923554,3.555359,0.4503176212310791
79,29,35,[-2.92849271],1.2509918212890625,[1.17287191],1.4912605648822181,1.8381909082076104,1.8381964,0.121033855,3.555359,0.5872045755386353
80,30,35,[-4.32645538],1.724980354309082,[0.92120634],1.1812094601068703,2.1514846200261024,2.1514902,0.7476213,3.555359,0.4265098571777344
81,31,35,[-5.71106531],2.3071374893188477,[0.67158473],0.8880498669088716,2.6933171121706807,2.6933227,1.8312863,3.555359,0.3861851692199707
82,32,35,[-3.59887605],1.4947710037231445,[1.05210377],1.3981465011203205,1.9042233846140189,1.9042288,0.25309873,3.555359,0.409457802772522
83,33,35,[-5.07818172],2.0261330604553223,[0.78574857],0.9706172331697354,2.516561837062724,2.5165672,1.4777756,3.555359,0.4904341697692871
84,34,35,[-3.95255644],1.706279993057251,[0.98851186],1.2870115949818726,2.0145621177994526,2.0145676,0.4737762,3.555359,0.3082876205444336
85,35,35,[-4.47120851],1.6720750331878662,[0.89518],1.072073473054031,2.3253014241369665,2.3252766,1.0952553,3.5552979,0.6532015800476074
86,36,35,[-5.98854719],2.4747824668884277,[0.62197867],0.8123935022557714,2.8719036069082833,2.8719091,2.1884594,3.555359,0.3971266746520996
87,37,35,[-5.41897615],2.1471216678619385,[0.72456459],0.9428022145252871,2.573991372866664,2.573997,1.5926349,3.555359,0.42687535285949707
88,38,35,[-5.97017021],2.1901392936706543,[0.62525085],0.7633328444916304,2.9962092532560125,2.9962146,2.4370704,3.555359,0.8060753345489502
89,39,35,[-4.65470836],1.7874865531921387,[0.86211858],1.0142886945067946,2.4307295786352565,2.430735,1.3061113,3.555359,0.6432485580444336
90,40,35,[-5.92347883],2.454698085784912,[0.63329833],0.7609626033258161,3.002384075678913,3.0023894,2.44942,3.555359,0.5476913452148438
91,41,35,[-4.89097773],1.8783363103866577,[0.81958736],0.9861767017315507,2.4853736156764397,2.4852579,1.4154009,3.5551147,0.6069215536117554
92,42,35,[-4.87221771],2.0129554271698,[0.82303936],1.0708238004352306,2.327483322548549,2.327489,1.0996187,3.555359,0.3145334720611572
93,43,35,[-5.27542699],2.140399694442749,[0.74992726],0.9565853736231016,2.5452647345101282,2.5452702,1.5351815,3.555359,0.40487051010131836
94,44,35,[-6.27895982],2.4379968643188477,[0.56969173],0.7229813664471398,3.103459322841232,2.784194,2.65399,2.9143982,0.34619712829589844
95,45,35,[-6.35586548],2.799572467803955,[0.55520426],0.7266411938547619,3.0935453717176,3.093551,2.631743,3.555359,0.2939784526824951
96,46,35,[-5.16933518],2.0580434799194336,[0.76950974],0.9659376409622065,2.5260734015171105,2.526079,1.4967989,3.555359,0.4680354595184326
97,47,35,[-5.35584924],2.0383100509643555,[0.73593463],0.9152300988756419,2.633040416454061,2.633046,1.7107329,3.555359,0.594735860824585
98,48,35,[-4.41209397],1.7357008457183838,[0.90581615],1.1983727574163041,2.127159989775432,2.1271656,0.6989721,3.555359,0.3914647102355957
99,49,35,[-4.21298252],1.5160472393035889,[0.94165343],1.2193529156348133,2.098537391451311,2.0985427,0.6417267,3.555359,0.5824954509735107
100,0,129,[-5.23556885],1.9691544771194458,[0.75757206],1.0011962918226276,3.108137622406456,3.1080115,1.3564647,4.859558,1.1388570070266724
101,1,129,[-4.51985344],1.947089672088623,[0.88634015],1.273948907741563,2.6820166649789012,2.6820116,0.504221,4.8598022,0.734921932220459
102,2,129,[-4.48556482],1.7975214719772339,[0.89258997],1.228668261171212,2.738452879996626,2.738448,0.61709356,4.8598022,0.9409264326095581
103,3,129,[-3.429658],1.4854427576065063,[1.08266034],1.6614997583224413,2.431964908582545,2.4319599,0.004117427,4.8598022,0.9465171098709106
104,4,129,[-4.39950808],1.697971224784851,[0.90805826],1.2131102506104114,2.759158463376192,2.7591534,0.6585047,4.8598022,1.0611821413040161
105,5,129,[-4.70143583],2.02868914604187,[0.85373212],1.2158662514226062,2.7554416001136124,2.7554367,0.651071,4.8598022,0.7267475128173828
106,6,129,[-5.37203662],2.0606155395507812,[0.73303199],1.0009399713558538,3.108635262802995,3.1086302,1.3574582,4.8598022,1.0480146408081055
